timestamp,temp_C,humidity_pct,wind_kmh,rain_mm
2023-01-01 00:00:00,15.292,80.477,15.09,1.305
2023-01-01 01:00:00,14.572,78.53,13.57,0.0
2023-01-01 02:00:00,,74.338,15.005,1.168
2023-01-01 03:00:00,14.534,75.633,15.799,0.0
2023-01-01 04:00:00,17.196,67.027,11.632,0.0
2023-01-01 05:00:00,17.718,72.147,13.858,0.0
2023-01-01 06:00:00,18.188,73.549,15.589,0.0
2023-01-01 07:00:00,,72.71,15.238,0.0
2023-01-01 08:00:00,19.605,68.491,,0.0
2023-01-01 09:00:00,18.643,70.406,14.553,0.0
2023-01-01 10:00:00,18.643,70.749,15.307,0.524
2023-01-01 11:00:00,18.612,70.57,14.946,0.0
2023-01-01 12:00:00,18.941,69.743,16.544,1.141
2023-01-01 13:00:00,18.232,69.365,18.163,0.0
2023-01-01 14:00:00,16.218,73.206,16.652,0.0
2023-01-01 15:00:00,15.605,73.041,13.949,0.0
2023-01-01 16:00:00,16.178,72.11,14.467,0.0
2023-01-01 17:00:00,16.106,82.802,16.957,0.113
2023-01-01 18:00:00,14.439,76.488,17.454,
2023-01-01 19:00:00,13.596,79.598,14.904,0.0
2023-01-01 20:00:00,14.638,80.095,15.088,0.0
2023-01-01 21:00:00,13.652,77.086,12.511,0.967
2023-01-01 22:00:00,14.576,82.579,17.694,0.0
2023-01-01 23:00:00,15.543,76.155,15.68,
2023-01-02 00:00:00,15.457,84.88,14.918,0.0
2023-01-02 01:00:00,15.754,74.711,16.655,0.0
2023-01-02 02:00:00,16.988,74.94,16.151,0.862
2023-01-02 03:00:00,16.833,75.18,17.409,0.152
2023-01-02 04:00:00,17.947,73.796,13.903,0.0
2023-01-02 05:00:00,18.387,72.839,15.396,0.0
2023-01-02 06:00:00,19.245,74.916,13.409,0.236
2023-01-02 07:00:00,19.489,74.891,14.812,0.008
2023-01-02 08:00:00,19.954,77.474,13.88,0.0
2023-01-02 09:00:00,19.869,67.857,12.328,0.254
2023-01-02 10:00:00,20.044,74.68,12.818,0.0
2023-01-02 11:00:00,19.679,74.456,14.955,0.0
2023-01-02 12:00:00,19.325,72.841,12.818,0.0
2023-01-02 13:00:00,19.449,71.379,13.694,0.0
2023-01-02 14:00:00,16.646,83.43,10.129,0.0
2023-01-02 15:00:00,17.86,81.673,13.95,0.754
2023-01-02 16:00:00,16.026,74.811,9.537,0.0
2023-01-02 17:00:00,14.637,85.569,12.362,0.019
2023-01-02 18:00:00,14.802,83.805,13.175,0.62
2023-01-02 19:00:00,14.565,84.037,16.083,
2023-01-02 20:00:00,15.009,86.118,13.066,0.629
2023-01-02 21:00:00,13.479,82.255,11.183,0.0
2023-01-02 22:00:00,14.537,83.28,11.681,0.0
2023-01-02 23:00:00,14.82,85.662,12.804,0.0
2023-01-03 00:00:00,14.078,,12.82,
2023-01-03 01:00:00,15.077,76.744,11.639,0.0
2023-01-03 02:00:00,17.061,74.36,13.419,0.0
2023-01-03 03:00:00,,,13.027,0.0
2023-01-03 04:00:00,18.921,73.063,10.827,
2023-01-03 05:00:00,19.212,73.668,12.261,0.977
2023-01-03 06:00:00,19.675,72.09,12.773,0.0
2023-01-03 07:00:00,19.886,74.334,10.063,0.0
2023-01-03 08:00:00,20.862,,10.653,
2023-01-03 09:00:00,19.439,69.82,12.36,0.301
2023-01-03 10:00:00,19.737,76.428,11.706,
2023-01-03 11:00:00,19.721,74.394,13.344,0.0
2023-01-03 12:00:00,,75.214,13.15,0.057
2023-01-03 13:00:00,19.126,74.32,11.61,0.092
