customer_id,age,tenure_months,monthly_charge_usd,support_calls_last_3m,data_usage_gb,payment_delay_days_avg,complaints_last_6m,satisfaction_score,promotion_used,contract_type,churn
C1100248,75,36,77.52,0,1.0,7,0,9.6,No,Monthly,0
C1100240,36,1,12.0,2,34.48,15,5,10.0,No,Semiannual,1
C1100071,49,6,79.02,3,32.19,7,1,5.8,No,Monthly,0
C1100137,46,43,88.07,2,18.28,1,0,5.5,No,Semiannual,1
C1100388,42,1,12.0,1,57.41,18,6,7.6,No,Semiannual,0
C1100349,50,49,44.63,0,76.01,0,0,6.9,Yes,Annual,1
C1100084,40,55,70.32,0,17.06,0,0,1.5,Yes,Annual,0
C1100235,51,37,48.87,0,44.7,0,0,6.0,Yes,Annual,0
C1100457,24,6,103.28,2,81.84,18,0,4.1,No,Semiannual,1
C1100316,51,50,129.6,1,20.75,0,0,1.3,No,Monthly,1
C1100358,27,1,166.46,6,39.0,15,0,6.4,No,Monthly,1
C1100441,18,1,14.08,2,24.91,13,5,9.3,No,Semiannual,0
C1100420,18,26,137.75,1,60.99,8,0,3.6,No,Monthly,1
C1100058,55,50,12.0,6,40.06,0,4,5.1,No,Annual,1
C1100337,55,1,21.93,3,39.1,9,3,7.7,No,Semiannual,1
C1100489,43,19,64.59,5,62.78,6,0,4.9,Yes,Annual,0
C1100238,37,43,39.67,3,70.89,0,0,7.0,Yes,Annual,0
C1100299,34,1,12.0,6,58.62,20,6,8.5,No,Semiannual,0
C1100332,30,41,61.57,3,55.24,3,0,4.5,No,Annual,0
C1100061,78,1,76.69,5,1.0,12,1,8.5,No,Monthly,1
C1100129,63,8,80.62,2,56.26,3,0,4.4,Yes,Annual,0
C1100191,18,1,66.25,0,109.32,9,1,6.1,No,Monthly,1
C1100273,41,53,98.0,2,1.0,0,0,5.9,Yes,Annual,0
C1100280,44,14,41.8,4,13.49,12,2,8.9,No,Semiannual,1
C1100452,27,36,58.99,2,59.72,3,0,5.0,Yes,Annual,0
C1100275,18,1,16.68,0,44.16,18,4,9.1,No,Semiannual,0
C1100414,40,48,69.62,1,1.0,1,0,5.9,No,Semiannual,1
C1100244,18,11,12.0,0,12.86,11,6,7.9,No,Semiannual,1
C1100040,43,3,101.68,3,40.9,12,1,1.0,No,Semiannual,1
C1100354,20,46,65.56,1,40.04,4,0,3.5,Yes,Annual,0
C1100411,50,27,58.73,2,81.2,5,0,4.2,No,Annual,0
C1100312,52,22,56.95,2,70.38,1,0,4.8,Yes,Annual,0
C1100282,36,1,123.46,3,58.16,18,0,4.7,No,Semiannual,1
C1100320,53,28,54.12,3,52.22,0,0,5.8,Yes,Annual,0
