customer_id,age,tenure_months,monthly_charge_usd,support_calls_last_3m,data_usage_gb,payment_delay_days_avg,complaints_last_6m,satisfaction_score,promotion_used,contract_type,churn
C2100513,33,14,105.82,6,13.43,13,5,1.0,No,Annual,0
C2100171,27,18,80.47,6,25.07,3,6,3.5,Yes,Annual,0
C2100480,18,32,83.48,3,38.64,8,3,6.7,Yes,Annual,0
C2100302,55,1,31.74,3,6.79,11,1,8.8,No,Semiannual,1
C2100053,29,37,48.6,10,16.22,10,1,4.5,No,Monthly,1
C2100174,42,1,69.35,2,15.39,13,3,5.9,No,Semiannual,0
C2100488,58,31,79.84,0,60.03,14,0,1.0,No,Monthly,1
C2100110,61,25,57.21,0,8.9,3,1,6.5,Yes,Monthly,0
C2100017,27,1,70.43,2,105.13,7,2,1.0,No,Semiannual,0
C2100265,32,28,27.58,10,33.29,12,4,2.9,No,Semiannual,1
C2100362,43,46,23.33,10,1.0,15,4,2.0,No,Semiannual,1
C2100384,44,31,66.4,9,22.73,13,3,1.0,No,Monthly,1
C2100021,59,12,56.7,6,42.26,7,3,1.0,No,Semiannual,1
C2100379,33,1,12.0,4,55.06,7,0,9.2,No,Annual,0
C2100148,50,28,25.67,9,28.75,2,4,3.1,No,Semiannual,0
C2100165,58,46,25.0,8,24.0,6,2,3.5,No,Monthly,1
C2100484,51,28,50.39,6,1.0,0,5,7.5,Yes,Monthly,1
C2100396,45,36,87.56,3,35.72,0,1,1.0,No,Semiannual,0
C2100407,36,17,25.88,6,23.13,11,1,9.0,Yes,Monthly,0
C2100225,41,12,63.67,7,3.02,14,3,4.6,No,Annual,0
C2100062,41,1,54.09,0,46.57,6,1,5.4,No,Monthly,1
C2100382,53,23,43.12,5,6.75,20,0,6.6,No,Annual,0
C2100217,24,21,87.4,0,21.45,2,0,8.8,No,Monthly,0
C2100497,44,1,12.0,6,70.71,0,0,10.0,No,Annual,0
C2100468,45,22,64.93,7,16.97,14,3,2.3,No,Monthly,1
C2100334,39,58,50.63,10,9.22,16,4,1.0,No,Annual,1
C2100189,53,20,38.61,8,15.5,4,4,3.2,No,Semiannual,0
C2100267,35,1,32.86,8,24.96,0,5,6.0,No,Monthly,0
C2100495,31,1,64.58,4,9.31,5,5,7.5,Yes,Annual,0
C2100150,69,27,12.0,7,40.29,0,1,4.4,No,Monthly,1
C2100128,62,46,107.59,0,48.06,1,0,1.0,No,Semiannual,0
C2100142,36,34,29.63,7,20.93,4,3,8.1,Yes,Semiannual,0
C2100430,50,23,17.45,8,58.93,0,2,1.6,No,Annual,0
C2100294,62,24,12.0,8,23.48,12,0,5.2,No,Annual,0
C2100067,22,11,46.08,6,43.9,6,3,6.5,Yes,Monthly,0
C2100402,64,1,36.1,0,20.72,2,0,10.0,Yes,Monthly,1
C2100181,22,2,65.75,2,16.06,13,3,9.9,Yes,Monthly,0
C2100253,54,5,13.89,6,40.23,4,2,4.3,No,Annual,0
C2100120,57,67,42.25,10,32.98,10,3,1.0,No,Monthly,1
C2100024,42,36,87.81,0,1.0,0,0,10.0,No,Monthly,0
C2100315,27,1,85.71,0,64.45,9,1,4.2,No,Annual,1
C2100038,78,5,15.72,2,1.0,5,0,10.0,No,Annual,1
C2100319,26,31,48.98,10,31.44,13,4,3.8,No,Semiannual,1
C2100197,53,1,37.78,4,26.76,13,1,4.6,No,Monthly,1
C2100071,63,31,88.09,0,11.83,0,0,6.4,No,Annual,0
C2100036,73,16,77.82,0,74.24,4,0,1.0,Yes,Semiannual,0
C2100040,63,21,61.53,5,1.0,14,2,3.0,No,Monthly,0
C2100443,65,24,24.22,8,38.71,9,1,1.0,No,Annual,0
C2100026,62,1,47.38,0,75.37,5,5,1.7,Yes,Annual,1
C2100329,52,8,41.67,8,1.0,17,2,5.1,No,Annual,1
C2100005,56,30,24.51,8,15.93,14,1,4.9,No,Semiannual,0
C2100201,43,72,12.0,10,1.0,11,3,8.4,No,Monthly,1
C2100342,45,35,34.24,8,46.9,0,3,1.9,No,Monthly,1
C2100013,55,20,55.61,2,1.0,9,0,10.0,Yes,Semiannual,1
C2100058,18,43,54.27,10,21.5,10,4,1.0,No,Annual,0
C2100143,25,11,53.33,0,52.31,8,0,9.0,Yes,Annual,0
C2100474,75,40,12.0,4,15.94,0,1,7.2,Yes,Semiannual,1
C2100223,68,33,49.1,10,32.47,6,4,1.0,No,Semiannual,1
C2100383,78,1,57.22,0,45.96,6,0,8.8,Yes,Annual,0
C2100261,75,16,73.31,0,1.0,13,0,9.3,No,Monthly,1
C2100433,50,25,97.01,0,23.54,0,0,7.2,No,Monthly,0
C2100188,72,1,12.0,0,57.93,0,2,8.6,Yes,Monthly,1
C2100409,78,35,12.0,7,47.28,0,5,2.1,No,Semiannual,1
C2100177,46,1,24.58,7,26.2,0,5,5.2,No,Annual,0
C2100220,18,1,12.0,6,58.09,2,2,9.7,No,Semiannual,0
C2100160,61,25,25.43,5,12.89,9,2,6.4,Yes,Annual,0
C2100399,61,1,12.0,3,41.26,8,0,10.0,No,Semiannual,0
C2100248,71,29,82.54,0,59.99,5,0,1.0,Yes,Monthly,0
C2100273,53,23,12.0,3,81.06,0,1,3.6,No,Annual,1
C2100274,48,1,47.33,4,51.57,3,5,1.5,No,Semiannual,0
