customer_id,age,tenure_months,monthly_charge_usd,support_calls_last_3m,data_usage_gb,payment_delay_days_avg,complaints_last_6m,satisfaction_score,promotion_used,contract_type,churn
C3100183,61,7,40.07,10,62.63,19,3,10.0,Yes,Annual,1
C3100521,22,30,55.62,0,70.91,0,0,4.5,No,Semiannual,0
C3100232,18,12,25.38,2,87.52,0,0,5.4,No,Monthly,0
C3100225,39,47,86.46,0,74.78,0,2,5.2,No,Annual,0
C3100480,64,8,89.59,0,28.83,25,6,4.7,Yes,Semiannual,0
C3100208,57,2,57.71,0,67.12,7,2,8.1,No,Semiannual,0
C3100525,40,23,28.08,0,60.88,0,2,7.5,No,Monthly,0
C3100070,22,28,46.12,3,55.28,0,0,7.9,No,Monthly,0
C3100101,40,43,50.58,8,87.78,7,2,7.8,Yes,Semiannual,1
C3100493,18,17,12.0,6,43.18,0,0,2.4,No,Annual,0
C3100478,18,1,41.3,5,20.95,8,1,5.8,No,Annual,0
C3100080,39,1,61.79,0,46.6,8,2,5.8,No,Monthly,0
C3100127,18,33,36.73,8,43.53,0,0,6.5,No,Monthly,0
C3100273,25,23,93.53,4,42.99,13,4,3.3,Yes,Annual,0
C3100344,18,18,42.14,5,75.4,0,0,3.9,No,Monthly,0
C3100518,40,63,56.3,4,1.72,0,0,8.9,Yes,Monthly,0
C3100083,54,23,43.1,0,42.27,8,5,5.6,No,Monthly,0
C3100132,45,1,99.9,0,21.02,16,0,5.8,No,Semiannual,1
C3100022,19,1,15.7,7,16.91,4,1,7.4,No,Monthly,1
C3100337,18,32,12.0,5,63.94,0,1,7.9,No,Annual,0
C3100034,31,1,35.3,4,22.83,10,0,8.3,No,Semiannual,0
C3100241,21,2,72.14,4,47.27,6,2,5.1,No,Annual,0
C3100037,26,1,27.93,5,28.21,6,0,8.5,No,Monthly,1
C3100184,42,24,48.33,2,15.18,0,0,9.4,No,Semiannual,0
C3100049,70,36,74.59,0,1.0,4,0,10.0,No,Semiannual,1
C3100041,18,24,69.5,2,44.12,0,0,3.5,No,Annual,1
C3100140,18,19,15.32,4,64.44,0,2,4.7,No,Semiannual,0
C3100334,18,11,53.4,2,71.59,0,0,5.2,No,Annual,0
C3100209,71,14,46.29,3,41.68,16,1,9.5,Yes,Semiannual,0
C3100113,55,1,72.07,6,2.61,30,5,6.3,Yes,Monthly,0
C3100452,46,48,103.68,0,85.02,8,5,4.1,Yes,Semiannual,0
C3100425,18,16,27.33,4,46.37,0,1,5.1,No,Annual,0
C3100062,48,9,59.94,6,33.93,14,2,8.2,Yes,Annual,1
C3100104,18,1,56.47,3,62.5,0,0,4.6,No,Monthly,0
C3100046,18,36,81.57,0,51.65,0,0,2.8,No,Annual,0
C3100005,18,6,22.75,9,54.32,0,3,3.3,No,Monthly,1
C3100274,18,8,12.0,5,75.17,0,0,2.8,No,Semiannual,0
C3100038,29,34,56.09,2,3.01,0,0,8.5,No,Annual,0
C3100021,46,67,109.37,0,46.68,2,0,5.6,Yes,Annual,1
C3100350,18,15,51.0,5,88.41,0,0,6.6,No,Monthly,0
C3100333,18,20,49.32,3,54.35,0,0,2.5,No,Monthly,0
C3100008,37,5,64.98,0,56.4,3,1,5.7,No,Monthly,1
C3100114,18,53,37.09,6,51.85,0,0,6.7,No,Monthly,0
C3100217,18,12,12.0,7,54.81,0,2,4.8,No,Semiannual,0
C3100073,18,15,54.71,5,21.11,0,0,5.0,No,Monthly,1
C3100383,50,10,81.58,3,37.36,17,4,6.1,Yes,Semiannual,1
C3100249,21,20,82.05,9,44.79,13,4,5.2,Yes,Semiannual,0
C3100467,57,50,49.08,2,38.91,4,1,9.3,Yes,Annual,0
C3100082,37,43,87.8,0,25.91,4,0,4.7,Yes,Annual,0
C3100160,18,60,113.18,8,58.24,10,5,2.9,Yes,Annual,0
C3100429,61,12,62.89,5,11.88,22,3,7.9,Yes,Semiannual,1
C3100331,24,45,43.21,2,41.19,0,0,5.2,Yes,Monthly,0
C3100135,46,36,113.59,0,61.68,13,5,2.7,No,Semiannual,0
C3100411,33,2,92.36,0,1.0,10,0,5.0,No,Annual,1
C3100486,32,5,84.65,0,68.0,8,4,2.5,No,Semiannual,0
